id,complaint_percentile,unit,is_sup
25319,81.7202,District 004,0
25654,46.4101,Detective Area - South,0
27282,74.5265,District 016,0
31818,95.5103,Gang Investigation Division,0
31890,88.1854,Gang Investigation Division,0
32074,93.1795,Gang Investigation Division,0
32306,87.6581,Vice & Asset Forfeiture Division,0
32330,92.0676,Narcotics Division,0
3684,69.8751,District 015,0
5168,87.8059,District 022,0
14349,29.0901,Public Transportation Section,0
18063,57.1472,District 025,0
22059,81.2177,Public Transportation Section,0
1789,51.4156,District 005,0
8698,90.3901,District 003,0
9525,84.0396,Detective Area - Central,0
10802,40.1419,District 009,0
13556,75.2130,District 015,0
30841,91.2313,District 002,0
8626,92.3676,District 009,0
11803,78.0349,District 011,0
24352,42.0879,Special Weapons And Tactics (Swat) Unit,0
5446,80.4937,Airport Law Enforcement Section - North,0
13091,74.0400,District 011,0
14442,99.8319,District 009,0
20334,34.8859,Legal Affairs Section,0
24014,32.1961,Airport Law Enforcement Section - North,0
30815,96.5533,District 004,0
31526,42.4974,District 017,0
32045,90.1876,Gang Investigation Division,0
2185,44.6372,District 006,0
3476,72.6716,District 007,0
3539,16.1056,Bureau Of  Detectives,0
8386,97.4590,Detective Area - South,0
8771,48.8266,Vice & Asset Forfeiture Division,0
17435,26.0389,District 007,0
23800,25.2013,Forensic Services Division,0
24249,50.6526,District 010,0
1696,75.6580,District 001,0
1884,80.4287,District 009,0
8089,70.5934,District 006,0
8403,54.7432,Bureau Of Patrol,0
8681,60.6053,Arson Section,0
9532,56.9371,Traffic Section,0
9551,86.8175,District 020,0
16310,69.5197,Detective Area - North,0
16860,73.5012,District 009,0
23804,72.3052,Airport Law Enforcement Section - South,0
24591,88.3153,Marine Operations Unit,0
29375,96.6184,District 012,0
32166,99.8892,District 006,0
32274,98.4601,Gang Investigation Division,0
6371,69.1257,District 002,0
19456,64.1949,Traffic Section,0
21764,57.2299,District 018,0
22984,45.5160,District 016,0
3547,51.4692,District 018,0
8579,87.6880,District 020,0
11194,98.3340,Airport Law Enforcement Section - North,0
11232,72.0225,Detective Area - Central,0
14217,91.9262,Public Transportation Section,0
14562,61.1440,District 016,0
18573,80.1574,Detective Area - Central,0
19150,98.4066,District 022,0
21219,66.7877,District 019,0
20114,92.2413,District 002,0
22229,79.8517,Public Transportation Section,0
29384,91.3798,District 011,0
32336,99.6676,Narcotics Division,0
235,41.0618,Detective Area - South,0
14202,44.2643,District 017,0
19532,81.2644,District 006,0
20773,64.3155,Gang Enforcement - Area South,0
22232,30.9809,Detective Area - South,0
32019,94.6773,Gang Enforcement Division,0
6938,90.4584,Gang Investigation Division,0
21279,67.5557,District 016,0
19859,46.8305,Detective Area - South,0
22944,30.1443,Bureau Of Patrol,0
25353,29.1429,District 002,0
28633,22.6892,District 024,0
30818,90.9671,District 004,0
32120,89.8475,Narcotics Division,0
1901,99.1976,District 006,0
27175,62.3819,District 006,0
30348,65.0000,District 005,0
32316,86.4201,District 011,0
1871,73.5738,Detective Area - South,0
1706,70.2028,Arson Section,0
4351,42.1535,Detective Area - Central,0
8882,78.0635,Public Transportation Section,0
13309,98.5786,District 006,0
15004,40.6289,District 012,0
17201,79.4849,District 004,0
1511,89.2706,District 004,0
6743,93.3629,District 001,0
16875,75.5557,District 004,0
16945,94.8416,Detective Area - North,0
22582,87.8683,District 022,0
24029,39.4082,District 019,0
981,36.9417,Traffic Section,0
11125,68.6905,Detective Area - South,0
18308,93.8464,District 005,0
25310,72.5230,District 009,0
27123,65.6605,Public Transportation Section,0
30561,96.9585,District 020,0
6678,98.5327,District 001,0
10634,18.6612,Bureau Of Internal Affairs,0
17546,64.2686,Canine Unit,0
31514,90.7913,Detective Area - Central,0
3619,80.8987,District 002,0
7892,31.1710,Vice & Asset Forfeiture Division,0
9757,79.1945,District 017,0
11110,33.0704,District 024,0
20093,73.7343,Detective Area - South,0
22077,63.5016,Court Section,0
22312,72.7676,District 011,0
31260,70.2380,Special Weapons And Tactics (Swat) Unit,0
9215,72.5063,District 020,0
30164,82.9830,District 018,0
1647,98.1621,District 011,0
4699,76.1912,Mounted Unit,0
4955,78.9154,District 001,0
6119,91.9224,Detective Area - Central,0
14721,99.4900,District 004,0
19994,97.4934,Detective Area - South,0
20025,72.4596,District 025,0
29225,84.7503,Detective Area - Central,0
29470,95.7205,District 020,0
30299,58.0948,Detective Area - North,0
30795,98.6457,District 006,0
2941,79.7511,Oemc - Detail Section,0
4216,67.5044,District 014,0
9038,96.4235,District 004,0
9305,32.4523,Detective Area - Central,0
